payment_id,customer_id,merchant_id,payment_timestamp,amount,currency,channel,device_type,is_international,days_since_last_payment,is_chargeback,signup_date,segment,age_band,home_country,profile,risk
P001,C001,M005,2024-01-03 09:00:00,34.0,GBP,web,desktop,0,12.0,0,2023-01-05,standard,25-34,GB,"{'category': 'groceries', 'tier': 'low'}","{'risk_band': 'low', 'avg_settlement_delay_days': 1}"
P002,C002,M001,2024-01-04 09:00:00,52.0,GBP,app,mobile,0,9.0,0,2023-01-19,standard,35-44,GB,"{'category': 'retail', 'tier': 'mid'}","{'risk_band': 'low', 'avg_settlement_delay_days': 2}"
P003,C003,M002,2024-01-05 09:00:00,88.0,GBP,web,mobile,0,4.0,0,2023-02-04,growth,25-34,US,"{'category': 'electronics', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 4}"
P004,C004,M003,2024-01-06 09:00:00,205.0,GBP,partner,mobile,1,1.0,1,2023-02-20,growth,18-24,FR,"{'category': 'gaming', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 8}"
P005,C005,M006,2024-01-07 09:00:00,73.0,GBP,app,desktop,0,7.0,0,2023-03-02,premium,35-44,DE,"{'category': 'fashion', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 3}"
P006,C006,M005,2024-01-08 09:00:00,41.0,GBP,web,desktop,0,13.0,0,2023-03-18,premium,45-54,GB,"{'category': 'groceries', 'tier': 'low'}","{'risk_band': 'low', 'avg_settlement_delay_days': 1}"
P007,C007,M004,2024-01-09 09:00:00,190.0,GBP,call_center,mobile,1,,1,2023-04-01,standard,45-54,ES,"{'category': 'travel', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 7}"
P008,C008,M002,2024-01-10 09:00:00,96.0,GBP,partner,mobile,0,3.0,0,2023-04-22,growth,25-34,IT,"{'category': 'electronics', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 4}"
P009,C009,M003,2024-01-11 09:00:00,182.0,GBP,web,mobile,1,1.0,1,2023-05-10,standard,18-24,GB,"{'category': 'gaming', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 8}"
P010,C010,M001,2024-01-12 09:00:00,65.0,GBP,app,desktop,0,6.0,0,2023-05-28,premium,55-64,US,"{'category': 'retail', 'tier': 'mid'}","{'risk_band': 'low', 'avg_settlement_delay_days': 2}"
P011,C001,M008,2024-01-13 09:00:00,59.0,GBP,web,mobile,0,5.0,0,2023-01-05,standard,25-34,GB,"{'category': 'subscriptions', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 5}"
P012,C002,M006,2024-01-14 09:00:00,,GBP,app,mobile,0,4.0,0,2023-01-19,standard,35-44,GB,"{'category': 'fashion', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 3}"
P013,C003,M003,2024-01-15 09:00:00,175.0,GBP,partner,mobile,1,2.0,1,2023-02-04,growth,25-34,US,"{'category': 'gaming', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 8}"
P014,C004,M004,2024-01-16 09:00:00,212.0,GBP,call_center,mobile,1,1.0,1,2023-02-20,growth,18-24,FR,"{'category': 'travel', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 7}"
P015,C005,M005,2024-01-17 09:00:00,39.0,GBP,web,desktop,0,11.0,0,2023-03-02,premium,35-44,DE,"{'category': 'groceries', 'tier': 'low'}","{'risk_band': 'low', 'avg_settlement_delay_days': 1}"
P016,C006,M002,2024-01-18 09:00:00,91.0,GBP,,mobile,0,6.0,0,2023-03-18,premium,45-54,GB,"{'category': 'electronics', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 4}"
P017,C007,M007,2024-01-19 09:00:00,240.0,GBP,partner,mobile,1,1.0,1,2023-04-01,standard,45-54,ES,"{'category': 'crypto', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 9}"
P018,C008,M001,2024-01-20 09:00:00,58.0,GBP,web,desktop,0,,0,2023-04-22,growth,25-34,IT,"{'category': 'retail', 'tier': 'mid'}","{'risk_band': 'low', 'avg_settlement_delay_days': 2}"
P019,C009,M004,2024-01-21 09:00:00,168.0,GBP,call_center,mobile,1,2.0,1,2023-05-10,standard,18-24,GB,"{'category': 'travel', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 7}"
P020,C010,M006,2024-01-22 09:00:00,78.0,GBP,app,desktop,0,9.0,0,2023-05-28,premium,55-64,US,"{'category': 'fashion', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 3}"
P021,C001,M002,2024-01-23 09:00:00,102.0,GBP,partner,mobile,0,2.0,1,2023-01-05,standard,25-34,GB,"{'category': 'electronics', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 4}"
P022,C002,M008,2024-01-24 09:00:00,63.0,GBP,web,,0,7.0,0,2023-01-19,standard,35-44,GB,"{'category': 'subscriptions', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 5}"
P023,C003,M009,2024-01-25 09:00:00,154.0,GBP,partner,mobile,1,3.0,1,2023-02-04,growth,25-34,US,"{'category': 'marketplace', 'tier': 'high'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 6}"
P024,C004,M003,2024-01-26 09:00:00,199.0,GBP,web,mobile,1,1.0,1,2023-02-20,growth,18-24,FR,"{'category': 'gaming', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 8}"
P025,C005,M001,2024-01-27 09:00:00,49.0,GBP,app,desktop,0,12.0,0,2023-03-02,premium,35-44,DE,"{'category': 'retail', 'tier': 'mid'}","{'risk_band': 'low', 'avg_settlement_delay_days': 2}"
P026,C006,M006,2024-01-28 09:00:00,81.0,GBP,web,mobile,0,5.0,0,2023-03-18,premium,45-54,GB,"{'category': 'fashion', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 3}"
P027,C007,M004,2024-01-29 09:00:00,,GBP,call_center,mobile,1,1.0,1,2023-04-01,standard,45-54,ES,"{'category': 'travel', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 7}"
P028,C008,M005,2024-01-30 09:00:00,44.0,GBP,web,desktop,0,15.0,0,2023-04-22,growth,25-34,IT,"{'category': 'groceries', 'tier': 'low'}","{'risk_band': 'low', 'avg_settlement_delay_days': 1}"
P029,C009,M007,2024-01-31 09:00:00,235.0,GBP,partner,mobile,1,1.0,1,2023-05-10,standard,18-24,GB,"{'category': 'crypto', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 9}"
P030,C010,M002,2024-02-01 09:00:00,109.0,GBP,app,mobile,0,3.0,0,2023-05-28,premium,55-64,US,"{'category': 'electronics', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 4}"
P031,C001,M006,2024-02-02 09:00:00,77.0,GBP,web,mobile,0,,0,2023-01-05,standard,25-34,GB,"{'category': 'fashion', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 3}"
P032,C002,M001,2024-02-03 09:00:00,57.0,GBP,app,desktop,0,10.0,0,2023-01-19,standard,35-44,GB,"{'category': 'retail', 'tier': 'mid'}","{'risk_band': 'low', 'avg_settlement_delay_days': 2}"
P033,C003,M003,2024-02-04 09:00:00,188.0,GBP,,mobile,1,2.0,1,2023-02-04,growth,25-34,US,"{'category': 'gaming', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 8}"
P034,C004,M009,2024-02-05 09:00:00,160.0,GBP,web,mobile,1,4.0,1,2023-02-20,growth,18-24,FR,"{'category': 'marketplace', 'tier': 'high'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 6}"
P035,C005,M005,2024-02-06 09:00:00,37.0,GBP,web,desktop,0,14.0,0,2023-03-02,premium,35-44,DE,"{'category': 'groceries', 'tier': 'low'}","{'risk_band': 'low', 'avg_settlement_delay_days': 1}"
P036,C006,M008,2024-02-07 09:00:00,69.0,GBP,app,mobile,0,7.0,0,2023-03-18,premium,45-54,GB,"{'category': 'subscriptions', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 5}"
P037,C007,M003,2024-02-08 09:00:00,196.0,GBP,partner,mobile,1,2.0,1,2023-04-01,standard,45-54,ES,"{'category': 'gaming', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 8}"
P038,C008,M002,2024-02-09 09:00:00,92.0,GBP,web,mobile,0,5.0,0,2023-04-22,growth,25-34,IT,"{'category': 'electronics', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 4}"
P039,C009,M004,2024-02-10 09:00:00,,GBP,call_center,mobile,1,2.0,1,2023-05-10,standard,18-24,GB,"{'category': 'travel', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 7}"
P040,C010,M005,2024-02-11 09:00:00,46.0,GBP,web,desktop,0,16.0,0,2023-05-28,premium,55-64,US,"{'category': 'groceries', 'tier': 'low'}","{'risk_band': 'low', 'avg_settlement_delay_days': 1}"
P041,C001,M007,2024-02-12 09:00:00,228.0,GBP,partner,,1,1.0,1,2023-01-05,standard,25-34,GB,"{'category': 'crypto', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 9}"
P042,C002,M006,2024-02-13 09:00:00,79.0,GBP,app,mobile,0,4.0,0,2023-01-19,standard,35-44,GB,"{'category': 'fashion', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 3}"
P043,C003,M002,2024-02-14 09:00:00,98.0,GBP,web,mobile,0,3.0,0,2023-02-04,growth,25-34,US,"{'category': 'electronics', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 4}"
P044,C004,M004,2024-02-15 09:00:00,218.0,GBP,call_center,mobile,1,,1,2023-02-20,growth,18-24,FR,"{'category': 'travel', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 7}"
P045,C005,M001,2024-02-16 09:00:00,54.0,GBP,app,desktop,0,9.0,0,2023-03-02,premium,35-44,DE,"{'category': 'retail', 'tier': 'mid'}","{'risk_band': 'low', 'avg_settlement_delay_days': 2}"
P046,C006,M009,2024-02-17 09:00:00,149.0,GBP,partner,mobile,1,3.0,0,2023-03-18,premium,45-54,GB,"{'category': 'marketplace', 'tier': 'high'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 6}"
P047,C007,M005,2024-02-18 09:00:00,43.0,GBP,web,desktop,0,18.0,0,2023-04-01,standard,45-54,ES,"{'category': 'groceries', 'tier': 'low'}","{'risk_band': 'low', 'avg_settlement_delay_days': 1}"
P048,C008,M003,2024-02-19 09:00:00,184.0,GBP,,mobile,1,2.0,1,2023-04-22,growth,25-34,IT,"{'category': 'gaming', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 8}"
P049,C009,M002,2024-02-20 09:00:00,104.0,GBP,web,mobile,0,3.0,0,2023-05-10,standard,18-24,GB,"{'category': 'electronics', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 4}"
P050,C010,M004,2024-02-21 09:00:00,207.0,GBP,call_center,mobile,1,1.0,1,2023-05-28,premium,55-64,US,"{'category': 'travel', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 7}"
P051,C001,M005,2024-02-22 09:00:00,38.0,GBP,web,desktop,0,17.0,0,2023-01-05,standard,25-34,GB,"{'category': 'groceries', 'tier': 'low'}","{'risk_band': 'low', 'avg_settlement_delay_days': 1}"
P052,C002,M003,2024-02-23 09:00:00,,GBP,partner,mobile,1,2.0,1,2023-01-19,standard,35-44,GB,"{'category': 'gaming', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 8}"
P053,C003,M001,2024-02-24 09:00:00,62.0,GBP,app,desktop,0,8.0,0,2023-02-04,growth,25-34,US,"{'category': 'retail', 'tier': 'mid'}","{'risk_band': 'low', 'avg_settlement_delay_days': 2}"
P054,C004,M007,2024-02-25 09:00:00,245.0,GBP,partner,mobile,1,1.0,1,2023-02-20,growth,18-24,FR,"{'category': 'crypto', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 9}"
P055,C005,M006,2024-02-26 09:00:00,82.0,GBP,web,mobile,0,6.0,0,2023-03-02,premium,35-44,DE,"{'category': 'fashion', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 3}"
P056,C006,M005,2024-02-27 09:00:00,40.0,GBP,web,desktop,0,15.0,0,2023-03-18,premium,45-54,GB,"{'category': 'groceries', 'tier': 'low'}","{'risk_band': 'low', 'avg_settlement_delay_days': 1}"
